"candidate_id","canonical_name","latitude","longitude","district","categories","source_name","source_record_id","source_url","source_license","duplicate_cluster_id","duplicate_candidate_ids","initial_review_status","final_decision","corrected_name","standardized_categories","second_source_url","verified_by","verified_at","review_notes"
"wikidata-Q11310066-jaffna","Jaffna Archaeological Museum","9.6688583","80.0242611","Jaffna","museum","Wikidata","Q11310066","https://www.wikidata.org/wiki/Q11310066","CC0 1.0","dup-46341a68e262","osm-relation-12695936-jaffna|osm-way-569288810-jaffna","duplicate_review","duplicate_source","","","","IT22224866","2026-08-20T14:20:15+05:30","Same itinerary POI as osm-relation-12695936-jaffna; retained as supporting source evidence."
"wikidata-Q60754429-kalutara","Brief Garden","6.45717","80.037626","Kalutara","garden","Wikidata","Q60754429","https://www.wikidata.org/wiki/Q60754429","CC0 1.0","","","unreviewed","","","","","","",""
"wikidata-Q25637940-kandy","Gadaladeniya Vihara","7.2573056","80.5560833","Kandy","Buddhist temple","Wikidata","Q25637940","https://www.wikidata.org/wiki/Q25637940","CC0 1.0","","","unreviewed","","","","","","",""
"wikidata-Q18708396-kegalle","Ruwanwella fort","7.045984","80.254049","Kegalle","military base","Wikidata","Q18708396","https://www.wikidata.org/wiki/Q18708396","CC0 1.0","","","unreviewed","preliminary_keep","","","","IT22224866","2026-08-20T14:28:00+05:30","Recognizable tourism, heritage, religious, or natural POI. Retain as a candidate pending full source-field verification."
"wikidata-Q28055651-kurunegala","Ibbagala Raja Maha Vihara","7.4875278","80.3706667","Kurunegala","Buddhist temple","Wikidata","Q28055651","https://www.wikidata.org/wiki/Q28055651","CC0 1.0","","","unreviewed","","","","","","",""
"wikidata-Q18210407-mannar","St. Sebastian's Cathedral, Mannar","8.97947","79.9072","Mannar","cathedral","Wikidata","Q18210407","https://www.wikidata.org/wiki/Q18210407","CC0 1.0","","","unreviewed","","","","","","",""
"wikidata-Q19700397-matale","Aluvihare Rock Temple","7.4971944","80.6218611","Matale","Buddhist temple","Wikidata","Q19700397","https://www.wikidata.org/wiki/Q19700397","CC0 1.0","","","unreviewed","","","","","","",""
"wikidata-Q27441891-monaragala","Kataragama Peak","6.3866667","81.3358333","Monaragala","mountain","Wikidata","Q27441891","https://www.wikidata.org/wiki/Q27441891","CC0 1.0","","","unreviewed","","","","","","",""
"wikidata-Q123684896-nuwara-eliya","Holy Emmanuel Church, Hanguranketha","7.1722655","80.77878","Nuwara Eliya","church building","Wikidata","Q123684896","https://www.wikidata.org/wiki/Q123684896","CC0 1.0","","","unreviewed","","","","","","",""
"wikidata-Q19711952-polonnaruwa","Dimbulagala","7.86","81.1436111","Polonnaruwa","mountain","Wikidata","Q19711952","https://www.wikidata.org/wiki/Q19711952","CC0 1.0","","","unreviewed","","","","","","",""
"wikidata-Q20680188-puttalam","Paramakanda Raja Maha Vihara","7.9166667","80","Puttalam","Buddhist temple","Wikidata","Q20680188","https://www.wikidata.org/wiki/Q20680188","CC0 1.0","","","unreviewed","","","","","","",""
"wikidata-Q19708548-ratnapura","Gongala","6.3858333","80.6538889","Ratnapura","mountain","Wikidata","Q19708548","https://www.wikidata.org/wiki/Q19708548","CC0 1.0","","","unreviewed","","","","","","",""
"wikidata-Q18345172-trincomalee","Gokanna Temple","8.5767778","81.2416111","Trincomalee","Buddhist temple","Wikidata","Q18345172","https://www.wikidata.org/wiki/Q18345172","CC0 1.0","","","unreviewed","","","","","","",""
"osm-node-10243221098-ampara","Kiriwehera Rajamaha Viharaya","6.8697165","81.7195917","Ampara","historic=ruins|amenity=place_of_worship","OpenStreetMap","node/10243221098","https://www.openstreetmap.org/node/10243221098","ODbL 1.0","","","unreviewed","","","","","","",""
"osm-node-10811136107-anuradhapura","Octagonal ruin","8.3401821","80.3895262","Anuradhapura","tourism=attraction","OpenStreetMap","node/10811136107","https://www.openstreetmap.org/node/10811136107","ODbL 1.0","","","unreviewed","","","","","","",""
"osm-node-11425572044-badulla","Slide & swing ella","6.8768528","81.0630019","Badulla","tourism=attraction","OpenStreetMap","node/11425572044","https://www.openstreetmap.org/node/11425572044","ODbL 1.0","","","unreviewed","","","","","","",""
"osm-way-219872503-batticaloa","Batticaloa Fort","7.7118007","81.7019954","Batticaloa","historic=fort","OpenStreetMap","way/219872503","https://www.openstreetmap.org/way/219872503","ODbL 1.0","dup-98f8e72471ed","wikidata-Q1849425-batticaloa","duplicate_review","canonical_keep","Batticaloa Fort","","https://www.wikidata.org/wiki/Q1849425","IT22224866","2026-08-20T14:20:15+05:30","Canonical itinerary POI for this duplicate cluster; related records retained as supporting source evidence."
"osm-node-10107620993-colombo","Sathutu Uyana","6.9603056","79.8649125","Colombo","tourism=attraction","OpenStreetMap","node/10107620993","https://www.openstreetmap.org/node/10107620993","ODbL 1.0","","","unreviewed","","","","","","",""
"wikidata-Q29248261-galle","Sri Pushparama Vihara, Balapitiya","6.2916389","80.0421389","Galle","Buddhist temple","Wikidata","Q29248261","https://www.wikidata.org/wiki/Q29248261","CC0 1.0","","","unreviewed","","","","","","",""
"osm-node-3431856751-gampaha","Highway Entrance Monument","6.9558728","79.8830593","Gampaha","historic=monument","OpenStreetMap","node/3431856751","https://www.openstreetmap.org/node/3431856751","ODbL 1.0","","","unreviewed","","","","","","",""
"osm-node-12310418240-hambantota","Bembewa Archaeological Site","6.2879368","81.3866419","Hambantota","historic=ruins","OpenStreetMap","node/12310418240","https://www.openstreetmap.org/node/12310418240","ODbL 1.0","","","unreviewed","","","","","","",""
"osm-node-1642989153-jaffna","Sakkotei Cape","9.835611","80.2121949","Jaffna","tourism=viewpoint","OpenStreetMap","node/1642989153","https://www.openstreetmap.org/node/1642989153","ODbL 1.0","","","unreviewed","","","","","","",""
"wikidata-Q28015701-kandy","Alawathugoda Saman Devalaya","7.4055833","80.6073889","Kandy","temple","Wikidata","Q28015701","https://www.wikidata.org/wiki/Q28015701","CC0 1.0","","","unreviewed","","","","","","",""
"wikidata-Q19820001-kegalle","Pinnawala Open Zoo","7.30056","80.3883","Kegalle","zoo","Wikidata","Q19820001","https://www.wikidata.org/wiki/Q19820001","CC0 1.0","","","unreviewed","","","","","","",""
"wikidata-Q28694713-kurunegala","Panduwasnuwara Raja Maha Vihara","7.5973056","80.1085556","Kurunegala","Buddhist temple","Wikidata","Q28694713","https://www.wikidata.org/wiki/Q28694713","CC0 1.0","","","unreviewed","","","","","","",""
"wikidata-Q6395391-mannar","Ketheeswaram temple","8.9147222","79.9561111","Mannar","Hindu temple","Wikidata","Q6395391","https://www.wikidata.org/wiki/Q6395391","CC0 1.0","","","unreviewed","","","","","","",""
"wikidata-Q25104534-matale","Sera Ella Falls","7.588304","80.7549405","Matale","waterfall","Wikidata","Q25104534","https://www.wikidata.org/wiki/Q25104534","CC0 1.0","","","unreviewed","","","","","","",""
"wikidata-Q28457340-monaragala","Buddama Raja Maha Vihara","7.0412222","81.489","Monaragala","Buddhist temple","Wikidata","Q28457340","https://www.wikidata.org/wiki/Q28457340","CC0 1.0","","","unreviewed","","","","","","",""
"wikidata-Q19701876-nuwara-eliya","Kadadora Vihara","7.0608333","80.5972222","Nuwara Eliya","Buddhist temple","Wikidata","Q19701876","https://www.wikidata.org/wiki/Q19701876","CC0 1.0","","","unreviewed","","","","","","",""
"wikidata-Q25637764-puttalam","Mulgirigala Raja Maha Vihara","7.9855556","80.0869167","Puttalam","Buddhist temple","Wikidata","Q25637764","https://www.wikidata.org/wiki/Q25637764","CC0 1.0","","","unreviewed","","","","","","",""
"wikidata-Q21707094-ratnapura","Maha Saman Devalaya","6.6911389","80.381","Ratnapura","temple","Wikidata","Q21707094","https://www.wikidata.org/wiki/Q21707094","CC0 1.0","","","unreviewed","","","","","","",""
"wikidata-Q22910742-trincomalee","Velgam Vehera","8.6456667","81.1712222","Trincomalee","Buddhist temple","Wikidata","Q22910742","https://www.wikidata.org/wiki/Q22910742","CC0 1.0","","","unreviewed","","","","","","",""
"wikidata-Q20821270-ampara","Ovagiriya","7.2240556","81.5627222","Ampara","Buddhist temple","Wikidata","Q20821270","https://www.wikidata.org/wiki/Q20821270","CC0 1.0","","","unreviewed","","","","","","",""
"wikidata-Q126650602-anuradhapura","Ritigala Strict Nature Reserve","8.1301","80.6602","Anuradhapura","nature reserve","Wikidata","Q126650602","https://www.wikidata.org/wiki/Q126650602","CC0 1.0","","","unreviewed","","","","","","",""
